# slug<TAB>canonical display name. Generated 2026-07-25, hand-reviewed.
# Acronyms, product names and Unix commands deviate from plain Title Case.
1password	1Password
academic	Academic
agents	Agents
ai	AI
analysis	Analysis
android	Android
anthropic	Anthropic
api-gateway	API Gateway
apple	Apple
appsec	AppSec
authentication	Authentication
aws	AWS
birthday	Birthday
blacklight	Blacklight
blog	Blog
blogging	Blogging
brave	Brave
bsimm	BSIMM
bug-bounty	Bug Bounty
burpsuite	BurpSuite
career	Career
celebrate	Celebrate
certs	Certs
chaos	Chaos
chatgpt	ChatGPT
claude	Claude
cloud	Cloud
cloudflare	Cloudflare
cloudfront	CloudFront
cloudtrail	CloudTrail
cloudwatch	CloudWatch
coding	Coding
collaboration	Collaboration
compatibility	Compatibility
complexity	Complexity
config	Config
configuration	Configuration
crypto	Crypto
ctf	CTF
culture	Culture
customization	Customization
defense	Defense
derbycon	DerbyCon
development	Development
dig	dig
dns	DNS
dos	DoS
efficiency	Efficiency
emacs	Emacs
evernote	Evernote
exercise	Exercise
faith	Faith
fedora	Fedora
finance	Finance
firefox	Firefox
floc	FLoC
foss	FOSS
fundamentals	Fundamentals
gemini	Gemini
gemma	Gemma
gnu	GNU
google	Google
grok	Grok
growth	Growth
habit	Habit
hackernews	HackerNews
hackers	Hackers
host	host
hugo	Hugo
infosec	InfoSec
injection	Injection
ios	iOS
java	Java
javascript	JavaScript
jira	Jira
johari-window	Johari Window
kaminsky	Kaminsky
kanban	Kanban
keylogging	Keylogging
l0pht	L0pht
lastpass	LastPass
law-enforcement	Law Enforcement
legacy	Legacy
lfi	LFI
liberated	Liberated
liberty	Liberty
links	Links
linux	Linux
lisp	Lisp
lmstudio	LMStudio
localllm	LocalLLM
macos	macOS
metasploit	Metasploit
mfa	MFA
mitm	MITM
mobile	Mobile
mobilesec	MobileSec
monitoring	Monitoring
mysql	MySQL
neovim	Neovim
netbios	NetBIOS
nostalgia	Nostalgia
nostr	Nostr
notes	Notes
notion	Notion
nslookup	nslookup
ollama	Ollama
organization	Organization
orgmode	OrgMode
para	PARA
passwords	Passwords
pentesting	Pentesting
php	PHP
powershell	PowerShell
ppv	PPV
present	Present
privacy	Privacy
procrastination	Procrastination
psychology	Psychology
recon	Recon
responsible-disclosure	Responsible Disclosure
rms	RMS
s3	S3
saaspocalypse	SaaSpocalypse
safari	Safari
secops	SecOps
securityhub	SecurityHub
self-awareness	Self Awareness
selfimprovement	SelfImprovement
serverless	Serverless
shell	Shell
shells	Shells
smb	SMB
social-media	Social Media
software	Software
spacemacs	Spacemacs
spam	Spam
static-analysis	Static Analysis
static-site	Static Site
surveillance-capitalism	Surveillance Capitalism
swift	Swift
swiftui	SwiftUI
syntax	Syntax
tech	Tech
terminal	Terminal
theme	Theme
trello	Trello
u2f	U2F
unix	Unix
url	URL
video	Video
vivaldi	Vivaldi
vulnerability	Vulnerability
waf	WAF
web	Web
web-browser	Web Browser
windows	Windows
wireshark	Wireshark
workflow	Workflow
writing	Writing
yubico	Yubico
yubikey	YubiKey
zed	Zed
